8	14
8	15
8	16
8	17
8	18
8	19
8	20
8	21
8	22
8	23
8	24
9	12
9	13
9	14
9	15
9	16
9	17
9	18
9	19
9	20
9	21
9	22
9	23
9	24
9	25
9	26
10	11
10	12
10	13
10	14
10	15
10	16
10	17
10	18
10	19
10	20
10	21
10	22
10	23
10	24
10	25
10	26
10	27
11	10
11	11
11	12
11	13
11	14
11	15
11	16
11	17
11	18
11	19
11	20
11	21
11	22
11	23
11	24
11	25
11	26
11	27
11	28
12	9
12	10
12	11
12	12
12	13
12	14
12	15
12	23
12	24
12	25
12	26
12	27
12	28
12	29
13	8
13	9
13	10
13	11
13	12
13	13
13	25
13	26
13	27
13	28
13	29
14	8
14	9
14	10
14	11
14	12
14	16
14	17
14	18
14	19
14	20
14	21
14	22
14	26
14	27
14	28
14	29
14	30
15	7
15	8
15	9
15	10
15	11
15	15
15	16
15	17
15	18
15	19
15	20
15	21
15	22
15	23
15	27
15	28
15	29
15	30
16	7
16	8
16	9
16	10
16	14
16	15
16	16
16	17
16	18
16	19
16	20
16	21
16	22
16	23
16	24
16	27
16	28
16	29
16	30
16	31
17	6
17	7
17	8
17	9
17	10
17	13
17	14
17	15
17	16
17	17
17	18
17	19
17	20
17	21
17	22
17	23
17	24
17	28
17	29
17	30
17	31
18	6
18	7
18	8
18	9
18	10
18	13
18	14
18	15
18	16
18	17
18	21
18	22
18	23
18	24
18	25
18	28
18	29
18	30
18	31
19	6
19	7
19	8
19	9
19	12
19	13
19	14
19	15
19	16
19	22
19	23
19	24
19	25
19	28
19	29
19	30
19	31
20	6
20	7
20	8
20	9
20	12
20	13
20	14
20	15
20	20
20	21
20	22
20	23
20	24
20	25
20	28
20	29
20	30
20	31
21	6
21	7
21	8
21	9
21	12
21	13
21	14
21	15
21	20
21	21
21	22
21	23
21	24
21	28
21	29
21	30
21	31
22	6
22	7
22	8
22	9
22	12
22	13
22	14
22	15
22	20
22	21
22	22
22	23
22	24
22	27
22	28
22	29
22	30
22	31
23	6
23	7
23	8
23	9
23	12
23	13
23	14
23	15
23	16
23	20
23	21
23	22
23	23
23	26
23	27
23	28
23	29
23	30
24	6
24	7
24	8
24	9
24	10
24	13
24	14
24	15
24	16
24	17
24	26
24	27
24	28
24	29
24	30
25	6
25	7
25	8
25	9
25	10
25	13
25	14
25	15
25	16
25	17
25	18
25	24
25	25
25	26
25	27
25	28
25	29
26	7
26	8
26	9
26	10
26	14
26	15
26	16
26	17
26	18
26	19
26	20
26	21
26	22
26	23
26	24
26	25
26	26
26	27
26	28
26	29
27	7
27	8
27	9
27	10
27	11
27	14
27	15
27	16
27	17
27	18
27	19
27	20
27	21
27	22
27	23
27	24
27	25
27	26
27	27
27	28
28	8
28	9
28	10
28	11
28	12
28	16
28	17
28	18
28	19
28	20
28	21
28	22
28	23
28	24
28	25
28	26
28	27
29	8
29	9
29	10
29	11
29	12
29	13
29	17
29	18
29	19
29	20
29	21
29	22
29	23
29	24
29	25
30	9
30	10
30	11
30	12
30	13
30	14
31	10
31	11
31	12
31	13
31	14
31	15
31	16
32	11
32	12
32	13
32	14
32	15
32	16
32	17
32	18
32	19
33	12
33	13
33	14
33	15
33	16
33	17
33	18
33	19
33	20
34	13
34	14
34	15
34	16
34	17
34	18
34	19
34	20
35	15
35	16
35	17
35	18
35	19
35	20
36	19
36	20

