1.6,2.55,-1
3,1.95,1
1.35,1.6,-1
1.35,3.25,-1
0.65,2.5,-1
2.05,1.45,1
1.75,1.55,-1
1.25,0.5,1
3.35,2.45,1
1.3,2.9,-1
2.2,3.2,-1
2.55,0.45,1
3.1,3.85,1
1.1,0.55,-1
1.8,1.4,1
0.7,3.2,-1
3.5,1.3,1
2.75,2.45,1
2,0.15,1
3.05,2.1,1
3.7,3.95,1
3.65,2.9,1
1.05,2.8,-1
0.95,3.45,-1
2.3,0.8,1
0.6,2.7,-1
1.55,3.1,-1
3.55,0.9,1
3.95,0.15,1
2.15,3,-1
4,3.9,1
0.65,2.4,-1
2.3,0.35,1
0.55,3.3,-1
3.6,3.7,1
0.15,3.95,-1
3.35,2.75,1
1.5,3.6,-1
2.55,1.4,1
1.05,3.9,-1
2.95,2.75,1
3.05,2.75,1
0.1,1,-1
3.4,2.45,1
0.75,2.15,-1
2.8,3.7,-1
2.1,3.85,-1
2.8,2.8,1
2.75,0.1,1
1.2,2.4,-1
2.45,2.55,1
1.55,0.8,1
1.55,1.75,-1
3.55,3.3,1
3.4,0.2,1
3.45,2.65,1
2.9,0.6,1
2.45,3.4,-1
3.7,1.7,1
0.85,3.6,-1
0.85,0.3,-1
1.1,0.05,1
3.05,1.55,1
2.55,3.55,-1
1.15,1.05,-1
0.55,1.1,-1
2.15,2.45,-1
1.95,0.35,1
2.15,0.65,1
3.8,1.35,1
2.05,1.15,1
2.85,2.85,1
2.25,2.45,1
2.05,1.35,1
1.15,2.5,-1
0.85,1.15,-1
0.95,1.45,-1
1.9,0.05,1
0.3,1.6,-1
3.25,1.45,1
1.95,3.55,-1
1.6,2.4,-1
3.45,0.45,1
3.4,2,1
1.7,4,-1
3.8,3.75,1
2.05,0.95,1
3.85,1.25,1
3.2,2.45,1
1.3,3.05,-1
0.6,3.65,-1
3.1,2.55,1
0.55,0.8,-1
0.95,3.2,-1
1.55,2.6,-1
0.65,3.1,-1
2.55,0.1,1
3.4,3,1
2.3,2.75,-1
1.15,2.65,-1
1.9,0.6,1
2.5,0.95,1
1.85,0.45,1
3.9,0.55,1
0.2,4,-1
3.5,0,1
2.2,0.6,1
2.7,2,1
3.9,3.9,1
2.15,3.15,-1
0.3,0.75,-1
3.3,1.55,1
1.85,0.9,1
0.6,3.75,-1
3.25,3.9,1
3.1,2.5,1
2.55,0.25,1
3.55,2.35,1
3,3.85,1
1.45,1.15,-1
3.55,3.35,1
0.95,3.65,-1
1.1,2.6,-1
0.4,0.45,-1
2.95,3.7,1
4,2.45,1
1.4,1.45,-1
0.35,0.05,-1
1.9,1.95,-1
3.3,2.95,1
2.5,0.25,1
0.95,2.95,-1
1.15,3.1,-1
3.55,0.8,1
3.95,0.3,1
0.15,2.55,-1
1.95,3.6,-1
1.3,0.55,1
2.55,3.25,-1
2.15,0.6,1
2,4,-1
3.35,0.15,1
2.4,3.3,-1
0.85,2.15,-1
0.8,0.85,-1
4,2.4,1
1.3,2.55,-1
1.7,1.05,1
3.6,1.7,1
3,3.95,-1
1.9,1.45,1
0.5,3.85,-1
3.9,3.5,1
0.85,0.65,-1
3.4,4,1
3.15,2.1,1
2.55,0.75,1
3.8,0.05,1
3.65,3.85,1
0.95,3.9,-1
3.2,0.5,1
3.8,3,1
2.9,0,1
0.95,3.7,-1
1.15,2.25,-1
1,2.9,-1
2.3,1.1,1
1.6,0.5,1
3.75,3.5,1
2.55,0.8,1
0.7,1.25,-1
0.5,1.25,-1
3.15,1.45,1
2.5,2.75,1
0,0,-1
1.35,1.15,-1
3.6,3.65,1
2.2,3.05,-1
2.75,1.35,1
0.7,3.25,-1
1.25,2.35,-1
3.95,1.2,1
2.2,1.2,1
1.75,0.7,1
0.8,1.5,-1
0.5,2.6,-1
3.2,2.85,1
0.2,3.65,-1
2.55,3.65,-1
0.7,2.1,-1
1.55,2.7,-1
0.35,3.1,-1
0.65,0.55,-1
0.15,0.7,-1
2.95,0,1
1.75,1.15,1
1.25,0.75,-1
2.85,2.25,1
0.1,0.65,-1
1.6,1.65,-1
0.5,2.35,-1
0.7,0.75,-1
0.4,2.1,-1
3.25,3.05,1
2.3,2.35,1
0.65,1.4,-1
1.45,1.2,-1
3.95,1.9,1
3.3,1.7,1
0.2,1.35,-1
3.4,1.45,1
2,0.95,1
0.85,3.75,-1
0.85,0.6,-1
1.15,0.8,-1
2.05,1.25,1
0.85,0.45,-1
0.95,2.3,-1
1.55,0.9,1
2.8,2.75,1
0.25,1.15,-1
2.9,3.3,1
0.15,2.25,-1
1.85,0.1,1
1.05,1.35,-1
0.05,2.9,-1
3.5,1.65,1
2,2.1,-1
2.75,0.9,1
1.5,2.6,-1
2.85,0.7,1
1.45,1.7,-1
3.95,1.65,1
1.3,3.15,-1
1.9,1.1,1
3.4,2.4,1
0.75,3.55,-1
3.1,1.2,1
2.35,1.4,1
3.7,2.2,1
2.25,2.55,-1
1.5,1.25,-1
0.4,3,-1
3.9,1.3,1
0.85,0.4,-1
2.45,0.5,1
1.65,0.85,1
4,3,1
0.25,3.6,-1
3.6,3.8,1
3.95,3.4,1
2.15,3.75,-1
0.35,2.05,-1
2.25,2.95,-1
0.45,0.05,-1
3.5,2.9,1
1.2,2.65,-1
2.9,0.5,1
3.75,3.9,1
3.65,1.05,1
0.3,3.6,-1
3.25,3.35,1
0.75,1.7,-1
3.65,2.45,1
3.05,1,1
3.7,0.5,1
3.7,0.25,1
0.6,1.9,-1
1.85,0.35,1
